subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
C,TWIST,720.0,0.993,41,720.0,-451.4,2.221,1.368,0.320,9,TWIST
C,TWIST,790.0,0.954,41,505.8,322.4,2.026,1.325,0.188,14,TWIST
C,TWIST,743.6,0.988,40,743.6,-340.8,2.260,1.339,0.244,12,TWIST
C,TWIST,666.0,1.538,44,-215.2,-217.9,1.734,1.244,0.195,11,TWIST
C,TWIST,867.2,1.061,44,-395.9,867.2,1.938,1.316,0.268,11,TWIST
C,TWIST,685.6,0.883,46,478.1,-298.1,2.024,1.294,0.211,4,TWIST
C,TWIST,703.0,1.069,43,457.9,-199.8,1.920,1.258,0.263,9,TWIST
C,TWIST,715.8,1.117,60,-298.4,-342.7,2.062,1.375,0.271,8,TWIST
C,TWIST,128.6,0.952,0,62.2,72.9,1.947,1.320,0.328,5,NONE
C,TWIST,808.5,1.057,34,808.5,-425.9,2.261,1.385,0.322,14,TWIST
C,PINCH,418.3,0.943,15,232.8,418.3,2.205,1.302,0.335,10,PINCH
C,PINCH,543.7,1.988,9,543.7,-217.9,2.107,1.502,0.272,13,PINCH
C,PINCH,349.2,1.112,7,-175.7,138.4,2.083,1.318,0.317,12,PINCH
C,PINCH,490.2,1.716,11,490.2,-225.4,2.289,1.580,0.314,14,PINCH
C,PINCH,503.8,1.630,16,12.7,503.8,2.611,1.658,0.429,12,PINCH
C,PINCH,360.7,1.027,13,-209.3,141.7,2.238,1.506,0.312,12,PINCH
C,PINCH,379.0,2.506,15,52.4,379.0,1.772,1.405,0.214,13,PINCH
C,PINCH,671.4,1.526,41,-316.2,-123.7,2.039,1.290,0.330,10,TWIST
C,PINCH,540.6,3.084,9,-20.0,540.6,2.543,1.428,0.346,16,PINCH
C,PINCH,415.4,1.450,9,-208.4,-78.0,2.594,1.416,0.383,13,PINCH
C,PINCH,285.2,1.606,9,285.2,165.9,2.420,1.344,0.341,13,PINCH
C,PINCH,189.6,1.356,0,-65.4,74.4,1.948,1.279,0.232,4,NONE
C,PINCH,751.3,0.743,40,-601.0,-409.9,2.047,1.338,0.259,12,TWIST
C,PINCH,88.3,0.926,0,47.4,88.3,2.329,1.378,0.342,5,NONE
C,PINCH,101.2,1.690,0,-28.7,101.2,2.776,1.336,0.457,4,NONE
C,PINCH,558.5,0.787,17,-381.2,-328.0,2.313,1.584,0.315,13,PINCH
C,PINCH,352.7,1.494,9,352.7,-90.7,2.183,1.398,0.340,8,PINCH
C,PINCH,540.9,2.691,18,-47.5,540.9,2.638,1.532,0.329,12,PINCH
C,PINCH,202.3,1.051,0,-50.0,142.4,1.957,1.257,0.241,8,NONE
C,PINCH,556.1,1.967,15,-19.8,556.1,2.398,1.575,0.357,9,PINCH
C,PINCH,984.3,2.102,13,440.2,984.3,2.514,1.510,0.327,8,FLICK
C,GARBAGE,143.6,0.801,0,95.8,-83.6,1.430,0.946,0.183,1,NONE
C,GARBAGE,145.5,1.826,0,145.5,34.2,2.696,1.319,0.372,11,NONE
C,GARBAGE,118.2,0.949,0,118.2,87.5,2.064,1.257,0.280,12,NONE
C,GARBAGE,154.2,0.790,0,-116.9,-78.2,2.268,1.326,0.314,10,NONE
C,GARBAGE,179.1,1.619,0,-97.2,-13.4,2.120,1.372,0.338,3,NONE
C,GARBAGE,391.1,4.075,23,64.5,31.5,2.375,1.298,0.415,3,NONE
C,GARBAGE,373.6,0.904,19,-258.3,155.0,2.467,1.354,0.349,7,NONE
C,GARBAGE,86.0,0.759,0,-63.7,49.6,1.898,1.344,0.242,4,NONE
C,GARBAGE,194.9,0.702,0,146.5,194.9,2.094,1.066,0.283,4,NONE
C,GARBAGE,194.1,1.531,0,194.1,30.8,1.835,1.071,0.186,1,NONE
C,GARBAGE,138.5,2.247,0,-52.3,138.5,2.696,1.338,0.467,10,NONE
C,GARBAGE,81.6,1.327,0,19.7,81.6,2.075,1.292,0.332,8,NONE
C,GARBAGE,130.0,0.989,0,-77.1,54.3,1.784,1.301,0.257,6,NONE
C,GARBAGE,179.5,1.992,0,179.5,69.7,1.377,0.990,0.089,1,NONE
C,GARBAGE,316.3,1.472,6,316.3,167.2,1.705,1.049,0.175,2,NONE
C,GARBAGE,352.0,0.731,19,352.0,-236.8,2.987,1.444,0.481,7,NONE
C,GARBAGE,84.7,1.014,0,84.7,-42.8,1.741,1.036,0.145,1,NONE
C,GARBAGE,350.7,2.112,21,350.7,15.2,2.871,1.346,0.516,5,NONE
C,GARBAGE,98.2,1.771,0,33.1,98.2,2.072,1.296,0.313,4,NONE
C,GARBAGE,114.8,1.891,0,114.8,-24.8,2.155,1.284,0.321,5,NONE
C,GARBAGE,149.2,0.845,0,88.4,149.2,2.182,1.283,0.279,6,NONE
C,GARBAGE,103.1,1.471,0,-28.4,41.7,2.161,1.356,0.259,7,NONE
C,GARBAGE,206.1,2.098,0,51.5,206.1,2.962,1.317,0.406,7,NONE
C,GARBAGE,309.5,0.962,15,309.5,-132.7,1.601,1.041,0.162,1,NONE
C,GARBAGE,82.5,1.333,0,24.2,82.5,1.800,1.014,0.210,1,NONE
C,FLICK,1027.8,1.514,27,-161.1,-517.6,2.290,1.461,0.282,12,FLICK
C,FLICK,735.2,0.944,51,-514.3,-264.7,2.153,1.340,0.249,17,TWIST
C,FLICK,1176.2,1.458,27,1176.2,155.0,2.206,1.356,0.308,17,FLICK
C,FLICK,1135.8,2.130,29,1135.8,-281.3,2.118,1.408,0.323,12,FLICK
C,FLICK,880.7,2.605,23,80.0,258.1,2.232,1.502,0.315,9,FLICK
C,FLICK,1023.5,3.451,25,1023.5,156.9,2.694,1.690,0.362,10,FLICK
C,FLICK,1146.2,1.409,27,503.3,1146.2,2.770,1.501,0.361,11,FLICK
C,FLICK,1365.7,1.629,23,457.8,-380.6,1.943,1.326,0.247,12,FLICK
C,FLICK,1237.7,12.888,27,27.1,68.9,2.632,1.479,0.413,9,FLICK
C,FLICK,884.5,1.838,23,-65.7,415.5,2.188,1.307,0.262,6,FLICK
C,FLICK,1163.5,2.263,25,-255.7,258.6,2.647,1.549,0.311,12,FLICK
C,FLICK,1261.0,2.533,19,485.5,1261.0,2.624,1.476,0.331,7,FLICK
C,FLICK,1020.8,4.794,23,-50.8,1020.8,1.778,1.250,0.192,10,FLICK
C,FLICK,960.8,1.635,28,960.8,512.1,2.330,1.494,0.355,13,FLICK
C,FLICK,1229.9,1.426,25,675.5,187.2,2.194,1.396,0.256,14,FLICK
C,FLICK,1077.4,3.701,25,280.5,-10.6,1.881,1.400,0.241,13,FLICK
C,FLICK,1348.0,5.664,15,41.7,1348.0,2.353,1.553,0.337,12,FLICK
C,FLICK,966.4,1.390,31,966.4,-188.0,1.932,1.442,0.237,12,FLICK
