subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
B,PINCH,361.5,0.776,3,-361.5,260.7,2.896,1.250,0.435,2,PINCH
B,PINCH,432.0,0.848,6,-432.0,229.0,3.372,1.136,0.472,3,PINCH
B,PINCH,433.0,0.865,3,-433.0,279.0,2.719,1.167,0.390,2,NONE
B,PINCH,421.5,0.739,7,-421.5,280.2,2.257,1.202,0.331,3,NONE
B,PINCH,372.1,0.542,5,-319.8,366.6,2.146,1.254,0.281,2,NONE
B,PINCH,372.8,0.939,3,-372.8,149.8,2.548,1.191,0.319,1,NONE
B,PINCH,526.2,1.373,4,-526.2,205.4,3.125,1.201,0.426,1,PINCH
B,PINCH,341.2,0.672,7,-341.2,-191.0,2.924,1.303,0.465,2,PINCH
B,PINCH,462.3,0.849,3,-462.3,293.5,3.775,1.328,0.608,1,PINCH
B,GARBAGE,93.6,1.292,0,-42.1,-30.3,1.396,1.067,0.126,1,NONE
B,GARBAGE,119.8,0.583,0,109.6,119.8,1.499,0.913,0.320,1,NONE
B,GARBAGE,200.7,0.936,0,-92.3,-122.1,1.499,1.096,0.224,1,NONE
B,GARBAGE,156.9,0.626,0,-100.6,156.9,1.842,1.105,0.260,2,NONE
B,GARBAGE,158.7,0.789,0,-113.5,-87.4,1.490,1.044,0.131,2,NONE
B,GARBAGE,166.0,0.537,0,-160.0,-149.4,2.030,0.989,0.356,4,NONE
B,GARBAGE,198.2,2.004,0,-26.5,-198.2,1.631,0.968,0.384,1,NONE
B,GARBAGE,175.9,1.376,0,-70.2,-175.9,1.426,1.164,0.281,2,NONE
B,GARBAGE,191.3,1.362,0,87.7,191.3,1.580,1.137,0.220,1,NONE
B,GARBAGE,252.5,1.289,12,88.3,-252.5,1.648,0.992,0.302,1,NONE
B,GARBAGE,111.9,0.750,0,111.9,71.5,1.405,1.134,0.103,1,NONE
B,GARBAGE,212.6,0.684,0,-139.8,-171.2,1.566,1.011,0.375,2,NONE
B,GARBAGE,223.5,0.832,1,-197.1,-71.5,1.648,1.069,0.222,4,NONE
B,GARBAGE,115.3,1.080,0,-65.7,115.3,1.495,1.127,0.124,1,NONE
B,GARBAGE,177.4,1.356,0,74.2,-177.4,1.507,0.966,0.256,1,NONE
B,GARBAGE,185.1,1.813,0,68.4,-185.1,1.691,1.051,0.359,1,NONE
B,GARBAGE,68.2,0.826,0,-50.9,68.2,1.411,1.111,0.130,2,NONE
B,GARBAGE,310.4,0.685,16,-262.0,191.2,1.764,1.049,0.236,3,NONE
B,GARBAGE,335.7,1.165,3,335.7,-154.7,2.318,1.106,0.249,2,NONE
B,GARBAGE,298.0,1.204,11,-102.4,-298.0,1.354,0.950,0.187,1,NONE
B,GARBAGE,136.1,0.845,0,-64.1,136.1,1.420,1.123,0.142,2,NONE
B,GARBAGE,195.7,0.659,0,-195.7,103.6,2.029,1.067,0.468,4,NONE
B,GARBAGE,212.8,1.690,0,212.8,-48.4,1.926,1.146,0.511,2,NONE
B,GARBAGE,171.2,0.683,0,170.2,-80.4,1.553,0.962,0.197,1,NONE
B,GARBAGE,194.5,0.674,0,-194.5,-164.4,1.640,1.021,0.320,1,NONE
B,GARBAGE,185.3,0.744,0,-184.3,-64.7,1.557,1.166,0.184,1,NONE
B,GARBAGE,315.5,0.849,12,-315.5,-225.1,1.882,1.023,0.333,1,NONE
B,GARBAGE,278.7,0.813,3,-278.7,117.0,1.867,1.145,0.269,1,NONE
B,GARBAGE,319.5,0.696,16,-312.3,146.4,4.678,1.070,0.783,2,PINCH
A,GARBAGE,85.4,0.664,0,-75.4,85.4,1.387,1.075,0.215,2,NONE
A,GARBAGE,100.2,0.578,0,91.5,100.2,1.445,1.073,0.234,3,NONE
A,GARBAGE,691.7,1.153,5,-691.7,-199.8,2.759,1.180,0.429,1,PINCH
A,GARBAGE,266.6,0.720,8,-160.5,-266.6,1.438,1.108,0.195,3,NONE
A,GARBAGE,272.5,0.576,12,272.5,264.0,2.656,1.138,0.448,3,PINCH
A,GARBAGE,281.5,0.758,2,197.5,-281.5,2.717,1.308,0.692,3,PINCH
A,GARBAGE,245.6,0.924,4,-132.0,-245.6,3.097,1.379,0.812,4,PINCH
A,GARBAGE,282.0,0.712,2,282.0,-168.9,3.062,1.261,0.568,6,PINCH
A,GARBAGE,324.4,0.656,22,-186.7,324.4,1.913,1.068,0.301,3,NONE
A,GARBAGE,185.0,0.873,0,-185.0,66.0,1.447,1.007,0.126,1,NONE
A,GARBAGE,198.5,0.865,0,198.5,106.1,1.705,1.008,0.179,2,NONE
A,GARBAGE,150.0,0.563,0,-136.3,130.1,1.368,1.037,0.111,1,NONE
A,GARBAGE,185.9,0.694,0,120.8,147.0,1.607,1.034,0.160,2,NONE
A,GARBAGE,238.8,0.847,11,-79.0,238.8,1.530,1.045,0.154,1,NONE
A,GARBAGE,259.8,0.566,11,-216.1,259.8,1.642,1.025,0.185,2,NONE
A,GARBAGE,372.1,0.743,21,372.1,223.5,1.389,1.079,0.158,2,NONE
A,GARBAGE,231.6,0.711,2,-231.6,-154.9,1.529,1.146,0.191,1,NONE
A,GARBAGE,266.5,1.104,3,-177.6,-63.8,2.273,1.120,0.254,1,NONE
A,GARBAGE,178.7,0.674,0,-104.0,-161.0,1.432,1.005,0.193,2,NONE
A,GARBAGE,169.1,1.296,0,-98.7,-31.8,1.546,1.129,0.166,1,NONE
A,GARBAGE,190.5,0.599,0,-147.4,-170.8,1.350,0.938,0.256,1,NONE
A,GARBAGE,289.2,0.802,7,242.2,-118.2,2.228,1.155,0.304,1,NONE
A,GARBAGE,106.0,0.670,0,100.3,-57.8,1.748,1.034,0.172,4,NONE
